Id,brand,description,mrp,card,discprice
57,SHOWOFF,Showoff Olive Cotton Regular Fit Printed Hooded Sweatshirt,2210,62,839
58,SHOWOFF,SHOWOFF White Cotton Slim Fit Printed Hooded SweatShirt,2096,62,796
59,SHOWOFF,SHOWOFF Red Cotton Slim Fit Colour Block Hooded SweatShirt,2068,62,785
60,Campus Sutra,Campus Sutra Light Grey & Black Cotton Sweatshirt,799,50,399
61,SHOWOFF,Showoff Green Cotton Regular Fit Printed Hooded Sweatshirt,2210,62,839
62,Campus Sutra,Campus Sutra Red Full Sleeves Hooded Sweatshirt,1052,19,852
63,SHOWOFF,SHOWOFF Olive Cotton Slim Fit Printed Hooded SweatShirt,2381,62,904
64,Campus Sutra,Campus Sutra Navy Hooded Printed Cotton Sweatshirt,749,46,404
65,Campus Sutra,Campus Sutra Black Full Sleeves Printed Sweatshirt,749,46,404
66,SHOWOFF,Showoff Navy Blue Cotton Regular Fit Printed Hooded Sweatshirt,1283,62,487
67,Van Heusen,Academy By Van Heusen Orange Cotton Slim Fit Printed SweatShirt,899,50,449
68,SHOWOFF,Showoff Mustard Cotton Regular Fit Printed Hooded Sweatshirt,2210,62,839
69,SHOWOFF,Showoff Teal Cotton Regular Fit Printed Hooded Sweatshirt,855,62,324
70,Puma,Puma Multicolor Colour-Block Hooded Sweatshirt,1479,63,547
71,SHOWOFF,SHOWOFF Blue Cotton Slim Fit Printed Hooded SweatShirt,2024,62,769
72,SHOWOFF,SHOWOFF Rust Cotton Slim Fit Hooded SweatShirt,1640,62,623
73,SHOWOFF,SHOWOFF Mustard Cotton Slim Fit Hooded SweatShirt,1640,62,623
74,Campus Sutra,Campus Sutra Dark Blue Regular Fit Printed Full Sleeves Hooded Sweatshirt,839,40,503
75,U.S. Polo Assn.,U.S. Polo Assn. Yellow Regular Fit Cotton Sweatshirt,1750,50,875
76,U.S. Polo Assn.,U.S. Polo Assn. Blue Round Neck Sweatshirt - Flexi Collection,1373,45,755
